point_numer;y_coord;x_coord;h_coord;eliminated;session_name
629925240296;2629926.006;1240296.838;436.746;;SE6
629944240307;2629944.679;1240307.680;436.806;;SE6
630048240246;2630048.802;1240247.114;438.623;;SE6
6005409;2630054.348;1240244.664;438.587;;SE6
630061240250;2630061.474;1240250.871;438.680;;SE6
6005405;2629717.848;1240162.515;444.903;;SE6
629716240160;2629716.940;1240160.446;444.847;;SE6
629706240174;2629706.782;1240174.602;445.552;;SE6
629710240169;2629710.684;1240170.299;445.387;;SE6
629715240175;2629715.851;1240175.430;445.513;;SE6
629714240177;2629715.400;1240178.029;445.647;;SE6
629717240172;2629718.183;1240172.882;445.409;;SE6
6005201;2629583.848;1240151.092;441.424;;SE6
629566240156;2629567.300;1240156.633;441.747;;SE6
629567240160;2629567.690;1240160.479;441.858;;SE6
629556240180;2629557.111;1240181.103;442.066;;SE6
629555240173;2629556.074;1240173.524;442.117;;SE6
6005196;2629308.753;1240207.973;436.275;;SE6
6005481;2629303.533;1240218.304;436.045;;SE6
629308240219;2629309.183;1240220.045;435.961;;SE6
630457239633;2630458.000;1239633.834;427.691;;SE6
630448239632;2630448.511;1239632.350;427.628;;SE6
11085480;2630908.862;1240356.932;450.830;;SE6
630908240355;2630909.438;1240356.144;451.029;;SE6
6005017;2629448.077;1241607.646;426.710;;SE6
629437241609;2629438.182;1241609.248;426.489;;SE6
629429241605;2629430.438;1241606.097;427.036;;SE6
11084040;2629290.595;1241230.222;427.587;;SE7
6005542;2629802.763;1241675.794;425.730;;SE7
6005535;2628952.748;1241643.231;428.949;;SE7
6005096;2630513.763;1240729.310;440.856;;SE7
11085480;2630908.854;1240356.931;450.847;;SE7
630689239656;2630689.895;1239656.501;424.996;;SE7
630678239647;2630678.827;1239648.196;425.089;;SE7
6005134;2629928.498;1239567.986;429.095;;SE7
10888350;2637077.423;1245609.106;386.393;;SE7
11084590;2629739.349;1238666.886;428.374;;SE8
629540240347;2629540.924;1240348.031;437.209;;SE8
629545240348;2629546.193;1240348.867;437.371;;SE8
629544240349;2629545.185;1240349.923;437.212;9999.;SE8
629566240156;2629567.304;1240156.611;441.764;;SE8
629567240160;2629567.699;1240160.462;441.881;;SE8
629570240164;2629571.264;1240165.211;441.806;;SE8
629715240175;2629715.838;1240175.454;445.527;;SE8
629717240172;2629718.153;1240172.901;445.440;;SE8
629714240177;2629715.385;1240178.020;445.672;;SE8
629716240182;2629717.336;1240182.830;445.954;;SE8
629706240174;2629706.786;1240174.605;445.588;;SE8
6005515;2629724.583;1240294.910;443.064;;SE8
629719240292;2629720.510;1240292.802;443.053;;SE8
629717240290;2629718.376;1240290.942;443.111;;SE8
629731240286;2629732.294;1240286.824;443.242;;SE8
629925240296;2629926.008;1240296.846;436.757;;SE8
6005529;2629921.785;1240296.145;436.749;;SE8
629932240306;2629933.489;1240306.952;436.634;;SE8
6005404;2629707.092;1240477.892;434.271;;SE8
629708240474;2629708.698;1240474.907;434.404;;SE8
6005061;2629278.575;1240734.672;428.623;;SE8
629415240611;2629416.285;1240612.245;429.777;;SE8
629416240602;2629416.490;1240603.027;429.883;;SE8
11084040;2629290.574;1241230.209;427.563;;SE8
11084040;2629290.587;1241230.216;427.611;;SE9
629551240586;2629552.063;1240586.397;431.967;;SE9
6005341;2629530.094;1240565.246;432.541;;SE9
629561240604;2629561.684;1240604.828;431.442;;SE9
6005403;2629660.555;1240535.043;432.412;;SE9
629660240536;2629661.467;1240536.357;432.553;;SE9
629620240492;2629621.052;1240492.774;433.096;;SE9
6005454;2629615.386;1240494.643;432.960;;SE9
6005406;2629754.933;1240430.120;434.523;;SE9
